#### Header from data file:
####     /orchid/oaqps/2002/smoke/ge_dat/v3/speciation/cmaq_cb05_soa/gspro_static_cmaq_19oct2007_v3.txt
# March 8 2007 (Strum)  added APIN and BPIN records
# October 19 2007 (Houyoux) added N002 profile with HONO, to be used for mobile sources
#       as per documentation from Golam Sarwar from EPA/ORD:
#                             "ge_dat/v3/references/HONO_emissions_sarwar.ppt"
# October 19 2007 (Houyoux) Added CL and HCL entries, since these will be used in all CMAQ
#      runs in the upcoming version of CMAQ.
#EXPORT_DATE=Fri Oct 19 11:09:59 EDT 2007
#EXPORT_VERSION_NAME=Add CL and HCL
#EXPORT_VERSION_NUMBER=3
#### Header from data file:
####     /orchid/oaqps/2002/smoke/ge_dat/v3/speciation/cmaq_cb05_soa/gspro_sulf_29jun2007_v1.txt
#EXPORT_DATE=Fri Oct 19 10:23:05 EDT 2007
#EXPORT_VERSION_NAME=Add SO2 to SO2 entries
#EXPORT_VERSION_NUMBER=1
#### Header from data file:
####     /orchid/oaqps/2002/smoke/ge_dat/v3/speciation/cmaq_cb05_soa/gspro_cmaq_cb05_soa_09nov2007_v0.txt
#SPTOOL_AQM          CMAQ 
#SPTOOL_CARBONS      orchid/oaqps/sptool/runs/cmaq_cb05_soa/in/sptool_carbons_26oct2007_v2.csv 
#SPTOOL_INVTABLE     orchid/oaqps/sptool/runs/cmaq_cb05_soa/in/invtable_caphap_27jun2007_v7.txt 
#SPTOOL_MECH         CMAQ_CB05_SOA 
#SPTOOL_OC_TYPE      Not Applicable 
#SPTOOL_PROCESS      /orchid/oaqps/sptool/runs/cmaq_cb05_soa/in/sptool_profile_process_17oct2007_v0.csv 
#SPTOOL_STATIC       Not Applicable 
#SPTOOL_VOC_TYPE     CRITERIA 
#EXPORT_DATE=Fri Nov 09 14:12:39 EST 2007
#EXPORT_VERSION_NAME=Initial Version
#EXPORT_VERSION_NUMBER=0
#### Header from data file:
####     /orchid/oaqps/2002/smoke/ge_dat/v3/speciation/cmaq_cb05_soa/gspro_pm25_26jun2007_v0.txt
# Copied from 09nov2006 CAP-only file to change POA to POC
# File  was provided by Environ from WA -4-05 (run SPECIATION tool for CB05 for various cases)
# Profile 92095 entered mannual by M Houyoux on 09nov2006.
# Speciation profiles are from SPECIATE4.0 (September 2006 version)
# SESQ emissions from biogenic sources (B10C5) are mannually added by Golam Sarwar based on email from G. Poulliot (dated 10/23/2007)
# SESQ emissions from biogenic sources (B10SP) are mannually added by Golam Sarwar based on discussion with G. Poulliot (dated 12/11/2007)
# Manually changed BENZ to BENZENE to be consistent with toxic model (Golam Sarwar 27Nov2007 - Bill Hutzell suggested the change)
#EXPORT_DATE=Fri Oct 19 10:23:05 EDT 2007
#EXPORT_VERSION_NAME=Initial Version
#EXPORT_VERSION_NUMBER=0
"0000";"CHLORINE";"CL2";1;70.91;1
"0000";"CO";"CO";1;28;1
"0000";"HCL";"HCL";1;36.46;1
"0000";"ISOP";"ISOP";1;68.12;1
"0000";"NH3";"NH3";1;17;1
"0000";"NO";"NO";1;30;1
"0000";"NOX";"NO2";0.1;46;0.1
"0000";"NOX";"NO";0.9;46;0.9
"0000";"OVOC";"PAR";8.5;148;0.85
"0000";"OVOC";"NR";0.5;148;0.05
"0000";"OVOC";"OLE";0.5;148;0.1
"0000";"SO2";"SO2";1;64;1
"0000";"SO4";"SULF";1;96;1
"0000";"SOX";"SO2";1;64;1
"0000";"TERP";"TERPB";1;136.23;1
"0000";"TERP";"OLE";0.5;136.23;0.1
"0000";"TERP";"PAR";6;136.23;0.6
"0000";"TERP";"ALD2";1.5;136.23;0.3
"99999";"EC2_5";"PEC";1;1;1
"99999";"OC2_5";"POC";1;1;1
"99999";"OTHER2_5";"PMFINE";1;1;1
"99999";"PMC";"PMC";1;1;1
"99999";"PMC_PRE";"PMC";1;1;1
"99999";"SO4_2_5";"PSO4";1;1;1
"B09C4";"ISOP";"ISOP";1;60;1.1333
"B09C4";"MONO";"TERPB";1;120;1.1333
"B09C4";"MONO";"ALD2";1.5;120;0.34
"B09C4";"MONO";"OLE";0.5;120;0.1133
"B09C4";"MONO";"PAR";6;120;0.68
"B09C4";"NO";"NO";1;14;2.1429
"B09C4";"OVOC";"PAR";8.5;120;1.0483
"B09C4";"OVOC";"OLE";0.5;120;0.1233
"B09C4";"OVOC";"NR";0.5;120;0.0617
"B09RD";"ISOP";"ISO";1;60;1.1333
"B09RD";"MONO";"OLI";1;120;1.1333
"B09RD";"MONO";"TERPB";1;120;1.1333
"B09RD";"NO";"NO";1;14;2.1429
"B09RD";"OVOC";"HC3";0.343;120;1.0483
"B09RD";"OVOC";"OLI";0.1;120;0.1233
"B09SP";"ISOP";"ISOPRENE";1;60;1.1333
"B09SP";"MONO";"TRP1";1;120;1.1333
"B09SP";"NO";"NO";1;14;2.1429
"B09SP";"OVOC";"OLE2";0.1;120;0.1233
"B09SP";"OVOC";"ALK2";0.85;120;1.0483
"B10C4";"ACET";"NR";1;36;0.537
"B10C4";"ACET";"PAR";2;36;1.0741
"B10C4";"ACTAC";"PAR";1;24;1.25
"B10C4";"ACTAC";"NR";1;24;1.25
"B10C4";"ACTAL";"ALD2";1;24;1.8333
"B10C4";"APIN";"TERPB";1;120;1.1333
"B10C4";"APIN";"PAR";6;120;0.68
"B10C4";"APIN";"ALD2";1.5;120;0.34
"B10C4";"APIN";"OLE";0.5;120;0.1133
"B10C4";"ATERP";"TERPB";1;120;1.1333
"B10C4";"ATERP";"PAR";6;120;0.68
"B10C4";"ATERP";"OLE";2;120;0.4533
"B10C4";"ATHU";"OLE";1;120;0.2267
"B10C4";"ATHU";"PAR";8;120;0.9067
"B10C4";"ATHU";"TERPB";1;120;1.1333
"B10C4";"BPHE";"OLE";2;120;0.4533
"B10C4";"BPHE";"PAR";6;120;0.68
"B10C4";"BPHE";"TERPB";1;120;1.1333
"B10C4";"BPIN";"OLE";1;120;0.2267
"B10C4";"BPIN";"PAR";8;120;0.9067
"B10C4";"BPIN";"TERPB";1;120;1.1333
"B10C4";"BUTE";"PAR";2;48;0.5833
"B10C4";"BUTE";"OLE";1;48;0.5833
